Unnamed: 0.1,Unnamed: 0,French,English
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,ville,city
15,15,chaque,each
16,16,parlé,speak
17,17,arrivé,come
18,18,devrait,should
19,19,bébé,baby
20,20,longtemps,long time
21,21,heures,hours
22,22,vont,will
23,23,pendant,while
24,24,revoir,meet again
25,25,aucune,any
26,26,place,square
27,27,parle,speak
28,28,compris,understood
29,29,savais,knew
30,30,étaient,were
31,31,attention,Warning
32,32,voici,here is
33,33,pourrais,could
34,34,affaire,case
35,35,donner,give
36,36,leurs,their
37,37,donné,given
38,38,train,train
39,39,corps,body
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,matin,morning
54,55,tellement,so much
55,56,enfant,child
56,57,point,point
57,58,venu,came
58,59,suite,after
59,60,pardon,sorry
60,61,venez,come
61,62,devant,in front of
62,63,vers,towards
63,64,minutes,minutes
64,65,demandé,request
65,66,chambre,bedroom
66,67,mis,placed
67,68,belle,beautiful
68,69,aimerais,would like to
69,70,aujourd'hui,today
70,71,mari,husband
71,72,cause,cause
72,73,enfin,finally
74,75,eau,water
75,76,attendez,Wait
76,78,nouvelle,new
77,79,boulot,job
78,80,arrêter,Stop
79,81,terre,Earth
80,82,compte,account
81,83,donne,given
82,84,loin,far
84,86,croire,believe
85,87,chérie,sweetheart
86,88,gros,large
87,89,plutôt,rather
88,90,aura,will have
89,91,filles,girls
90,93,bureau,office
